AirName,AircraftModel,Comments,DateFlown,EntertainmentRating,FoodRating,FullReview,GroundServiceRating,OverallScore,Recommended,ReviewDate,ReviewTitle,ReviewrCountry,Route,SeatComfortRating,SeatType,ServiceRating,TravelType,ValueRating,Verified,WifiRating
United,,,Oct-19,0,0," |  Salt Lake City to Denver. Every single time I end up flying with United I end up extremely disappointed. They have tickets that do not include a carry on. I paid $580 for a ticket and they charged me $60 to check a carry on bag. Last time I flew with them, they ripped the handles completely off of my bag. So to say I did everything in my power to not fly with them would be an understatement. To get to the airport and find out I have to check my tiny carry on bag was not good news at 4 am. I do not recommend flying with them ever.",1,1,,26th October 2019,"""$60 to check a carry on""", (United States) ,Salt Lake City to Denver,1,Economy Class,5,Business,1,1,0
United,,,Oct-19,0,0, |  Portland to Denver. Very disappointed in United Airlines! Flight delay almost 3 hours due to mechanical issues on outbound flight from DIA which resulted in loosing half a day in Denver area! Why would United not book us on the next available flight when there were still seats available? Why don't they have another plane available? Denver is a main hub and this is ridiculous when it's from the originating airport. United has offered no compensations.,3,1,,26th October 2019,"""Very disappointed in United Airlines""", (United States) ,Portland to Denver ,3,Premium Economy,3,Solo Leisure,1,0,0
United,,,Oct-19,3,3," | Fort Myers to Austin via Houston. I am mortally sick of this airline. I really cannot think of anything good to say about them. Today is the third time in a row they have both been delayed by an hour or more, and forced me to check my bag, even though when I get on board, there is plenty of bin space available costing me 30 minutes on the other end of my flight, on top of the delays. Do they really have so little comprehension of bin space or communication between on plane and terminal staff? I don't have this problem with Southwest, Virgin, Delta, Alaska, just United. Honestly if I had a choice, I would use any other airline. So I guess routes is the other thing we have to give them credit for.",1,1,,25th October 2019,"""sick of this airline""", (United States) ,Fort Myers to Austin via Houston ,2,Premium Economy,4,Business,4,1,3
United,Boeing 737,,Oct-19,3,4, |  San Francisco to Palm Springs. My wife and I were on different isle seats I asked if we could be put together The gate representative said we couldn’t because our flight was full. I was a little put out and she recognized that but couldn’t help. We left and waited to board. My wife went ahead of me and I waited till last to board. When I got up to board she handed me a different boarding pass and kindly said here you go Mr Kopsho. I was presently surprised she remembered and took the time to fix a little problem in our travels. My wife was very surprised. We had a great flight thanks to a very considerate team member. I did not get her name but she should be commended.  We will fly United airlines again. ,5,10,yes,24th October 2019,"""very considerate team member""", (United States) ,San Francisco to Palm Springs,4,Economy Class,5,Family Leisure,4,0,3
United,,,Oct-19,0,0, |  Columbus to Washington. United has by far the worst customer service of any airline I have encountered. I had issues with a cancelled flight for an international trip and was trying to re-book my connecting flight and they wanted to charge me over 200 dollars in change fees which is less than it would have cost to buy a brand new ticket. The customer service on the phone is atrocious and no one was helpful and everyone was rude and inefficient. I will not put another dollar in United's pocket .. their policies are just horrible and unfair.,3,1,,24th October 2019,"""the worst customer service""", (United States) ,Columbus to Washington,3,Economy Class,4,Solo Leisure,1,1,0
United,,,Oct-19,2,1," | United is truly the worst all over the world! They don’t care about their customers. A $50 voucher after almost 6hrs delay and a small snack whether you fly east or west. A so-called apologize letter from their president. Then the next week, the same delay happens again, you can’t believe how terrible UA is doing right now. They don’t tell you the truth instead only telling you time by time that your flight is impacted by an earlier departure. Will not take UA if I have other options in the future! They never really care as they have the unions to protect themselves but trust me in the way how they manage, they will disappear one day eventually.",1,1,,24th October 2019,"""truly the worst""", (United States) ,Memphis to Newark,2,Economy Class,1,Couple Leisure,1,0,2
United,,,Oct-19,3,1," | . United Airlines staff in Aguadilla Puerto Rico are extremely unprofessional. Just because I purchased an economy flight it doesn’t give staff the right to talk down to the customer. At the end of the day, they all have jobs because of us the travelers. Training is extremely needed throughout the entire airline especially in Aguadilla! Learn to treat customers with respect and not as if they are idiots. Never traveling United Airlines again.",1,1,,24th October 2019,"""Learn to treat customers with respect""", (United States) ,Aguadilla to Newark ,1,Economy Class,4,Couple Leisure,1,1,2
United,,,Oct-19,0,0," |  Chicago to San Jose del Cabo. My husband and I tried to check in on line without success, the message told us to do this at Ohare. The flight was to depart at 10 am, I received a text stating a delay and the new time was 10:25 am. We were looking for assistance at 9:15 am at the airport but the person helping couldn't check us in stating we got there too late. She sent us to additional services where the same happened. They told us the doors for boarding closed at 9:50 am. We had no bags to check and security was light. They still wouldn't let us through. Just then we got another text asking us the check in. We showed the text and asked what was the problem, why were they holding us back? They offered to put us on a flight for 10/22, I stated there would be high winds tomorrow and it would probably cause more trouble. I asked for our money back but they wouldn't do anymore for us than rescheduling for the next day. We went back home which is an hour and a half away from Ohare. We learned the flight didn't leave till 11:30 which was an hour and a half later. Not happy with United. They have you by the throat once they have your money.",1,1,,23rd October 2019,"""Not happy with United""", (United States) ,Chicago to San Jose del Cabo,1,Economy Class,1,Couple Leisure,1,1,0
United,,,Oct-19,1,1," |  Columbus to Denver via Chicago. I leave my apartment at 330p, slight traffic but get to airport at 345. Some issues finding parking so I eventually get out and make it to the United desk at 400. Flight departs at 440. I tried to check in via mobile but United won't let basic economy check in unless you check a bag for $30. So I get to the desk and try to check in via the kiosk but it said the same thing. I then ask the gate agent to check me in who noticed that I had a book bag and carry on and said I could only have 1 item. So I spend a few minutes stuffing my book bag into my regular bag, then the agent tries to check me in again and by this time it is 410p, the agent was locked out of checking me in 30 minutes before departure time. I was truly in disbelief. There was nothing anyone could do to get me my boarding pass. The gate agent then tries to get me on the earliest available way to get to Denver which would have been 930pm Denver time. unfortunately the flight to Chicago from Columbus was already delayed so I wouldn't have time to make my connecting flight. Eventually they got me into the next flight and now I won't be getting into Denver until 1047 pm Denver time. This airline tries to do whatever it can to get more money out of you and doesn’t care about passenger experience or customer service. Unfortunately this terrible airline has a monopoly on certain routes so in some cases is the only option. Will only fly if there is truly no other option.",1,1,,23rd October 2019,"""got me into the next flight""", (United States) ,Columbus to Denver via Chicago,1,Economy Class,1,Solo Leisure,1,1,1
United,,,Sep-19,2,2, |  Washington to Hartford. I had checked in via the United web site and got my boarding pass etc. I got to the airport four hours early so I could request an isle seat. The lady that assisted me was extremely rude and gave me no reason but that she could not do this for me! I decided to put this review because I felt the staff was unwilling to assist! Unsatisfied customer.,1,3,,22nd October 2019,"""staff was unwilling to assist""", (United States) ,Washington to Hartford,3,Economy Class,4,Couple Leisure,2,1,2
